"flag_id","upstream_dist","easting","northing","elevation","order_chan","notes","w00","ord00","w01","ord01","w02","ord02","w03","ord03","w04","ord04","w05","ord05","w06","ord06","w07","ord07","w08","ord08","w09","ord09","w10","ord10","w11","ord11","w12","ord12","slope"
"S01A_001",0,673743.1885,3990017.627,163.4539874,3,"",0,2,54.864,3,134.62,3,218.44,3,99.06,3,71.12,3,127,3,116.84,3,121.92,3,147.32,3,218.44,3,114.3,3,110.998,3,1.59624153
"S01A_002",5,673738.5249,3990017.641,163.5758592,3,"",0,2,45.72,3,104.14,3,152.4,3,81.28,3,53.34,3,114.3,3,96.52,3,93.98,3,119.38,3,157.48,3,101.6,3,88.9,3,2.478839084
"S01A_003",10,673737.4736,3990012.953,163.3728027,3,"",0,2,61.722,3,134.62,3,154.94,3,119.38,3,84.582,3,109.5248,3,93.98,3,88.9,3,139.7,3,157.48,3,106.68,3,99.06,3,2.329938136
"S01A_004",15,673736.5982,3990008.141,163.372803,3,"",0,2,116.586,3,68.58,3,53.34,3,58.42,3,123.952,3,145.3642,3,152.4,3,144.78,3,195.58,3,160.02,3,147.32,3,162.56,3,2.530497
"S01A_005",20,673733.1599,3990005.149,163.372803,3,"gauge",0,2,99.06,3,104.14,3,114.3,3,116.84,3,91.44,3,101.6,3,101.6,3,93.98,3,114.3,3,121.92,3,101.6,3,99.06,3,2.530497
"S01A_006",25,673730.1546,3990007.218,163.372803,3,"",0,2,93.98,3,142.24,3,147.32,3,134.62,3,104.14,3,114.3,3,68.58,3,58.42,3,154.94,3,162.56,3,106.68,3,101.6,3,1.825331
"S01A_007",30,673730.2863,3990012.198,163.372803,3,"",99.568,2,137.16,3,152.4,3,170.18,3,152.4,3,137.16,3,149.86,3,134.62,3,132.08,3,170.18,3,210.82,3,137.16,3,137.16,3,1.825331
"S01A_008",35,673727.9447,3990016.366,163.4176928,3,"",63.5,2,88.9,3,99.06,3,114.3,3,96.52,3,78.74,3,93.98,3,83.82,3,78.74,3,99.06,3,121.92,3,86.36,3,93.98,3,2.08116334
"S01A_009",40,673723.0205,3990016.763,163.4660646,3,"",NA,2,129.54,3,139.7,3,147.32,3,132.08,3,121.92,3,142.24,3,129.54,3,129.54,3,157.48,3,165.1,3,144.78,3,142.24,3,2.385072046
"S01A_010",45,673718.036,3990016.894,163.5291918,3,"",88.9,2,139.7,3,185.42,3,200.66,3,170.18,3,147.32,3,175.26,3,162.56,3,142.24,3,190.5,3,223.52,3,157.48,3,157.48,3,3.512154933
