flag_id,upstream_dist,easting,northing,elevation,order_chan,notes,w01,w02,w03,w04,w05
S01A_001,0,673747.7298,3990036.234,176.1961,3,,44,46,43,43,44
S01A_002,5,673743.1721,3990029.707,180.7898,3,,31,36,37,36,37
S01A_003,10,673742.7173,3990011.72,174.1124,3,,38,36,37,37,38
S01A_004,15,673739.9285,3990006.893,178.8121,3,,52,58,60,56,59
S01A_005,20,673740.2956,3990006.567,185.1521,3,gauge,38,39,39,39,39
S01A_006,25,673735.7049,3990006.254,185.5603,3,,18,17,14,14,14
S01A_007,30,673728.6772,3990010.665,185.6153,3,,47,51,43,50,53
S01A_008,35,673725.7259,3990018.597,185.1818,3,,30,32,30,31,31
S01A_009,40,673721.6341,3990015.852,180.8343,3,,52,51,51,51,51
S01A_010,45,673718.285,3990016.563,185.4912,3,,54,54,56,55,55
S01A_011,50,673720.2848,3990015.715,185.0196,3,,76,77,79,76,77
S01A_012,55,673720.287,3990015.604,181.5804,3,,98,97,96,95,96
S01A_013,60,673720.1486,3990008.942,185.1161,3,,27,27,29,27,33
S01A_014,65,673718.7311,3990007.693,185.1958,3,,32,21,34,34,33
S01A_015,70,673714.6394,3990004.949,185.1739,3,,31,30,32,31,31
S01A_016,75,673710.7365,3990001.764,184.5181,3,,51,53,51,51,52
S01A_017,80,673707.405,3989997.037,185.4569,3,,54,56,56,56,56
S01A_018,85,673700.3136,3990000.115,184.3778,3,,67,72,72,72,73
S01A_019,90,673697.2854,3989998.279,184.1667,3,,36,40,35,41,43
S01A_020,95,673690.8619,3989994.934,185.0286,3,,70,70,69,70,72
S01A_021,100,673685.0759,3989991.268,183.6562,3,,27,28,35,33,33
S01A_022,105,673682.2564,3989992.544,184.9402,3,,4,6,7,6,6
S01A_023,110,673681.8916,3989992.759,182.295,3,,39,34,37,33,31
S01A_024,115,673677.6965,3989990.678,184.9783,3,,25,30,23,22,23
S01A_025,120,673669.4997,3989985.854,184.5024,3,,25,15,25,27,28
S01A_026,125,673664.7375,3989980.544,182.0936,3,,47,32,48,46,47
S01A_027,130,673659.0416,3989981.43,184.8303,3,,22,21,24,25,25
S01A_028,135,673654.0487,3989983.218,181.986,3,,39,38,38,39,38
S01A_029,140,673647.6473,3989983.313,180.9669,3,,13,10,12,11,12
S01A_030,145,673646.3398,3989981.068,185.685,3,,27,29,27,28,28
S01A_031,150,673646.7463,3989978.745,186.0299,3,,35,45,35,36,35
S01A_032,155,673643.0192,3989975.786,186.2909,3,,46,46,37,28,37
S01A_033,160,673637.0924,3989974.67,181.4433,3,,18,26,28,27,26
S01A_034,165,673634.3785,3989970.621,185.9281,3,,41,48,44,47,50
S01A_035,170,673633.4224,3989964.276,182.9914,3,,60,58,60,59,60
