flag_id,upstream_dist,easting,northing,elevation,slope,order_chan,notes,w00,d00,w01,d01,w02,d02,w03,d03,w04,d04,w05,d05,w06,d06,w07,d07,w08,d08,w09,d09,w10,d10,w11,d11,w12,d12
S01A_001,0,673743.1885,3990017.627,163.4539874,1.59624153,3,,0,,24,10,53,,86,,39,,28,,50,,46,,48,,58,,86,,50,10,46,5
S01A_002,5,673738.5249,3990017.641,163.5758592,2.478839084,3,,0,,20,10,41,,60,,32,,21,,45,,38,,37,,47,,62,,40,,35,
S01A_003,10,673737.4736,3990012.953,163.3728027,2.329938136,3,,0,,27,10,53,,61,,47,,37,10,44,2,37,,35,,55,,62,,42,,39,
S01A_004,15,673736.5982,3990008.141,163.372803,2.530497,3,,0,,51,10,54,50,21,,23,,61,20,59,3,60,,57,,77,,63,,58,,64,
S01A_005,20,673733.1599,3990005.149,163.372803,2.530497,3,gauge,0,,39,,41,,45,,46,,36,,40,,40,,37,,45,,48,,40,,39,
S01A_006,25,673730.1546,3990007.218,163.372803,1.825331,3,,0,,37,,56,,58,,53,,41,,45,,27,,23,,61,,64,,42,,40,
S01A_007,30,673730.2863,3990012.198,163.372803,1.825331,3,,56,30,54,,60,,67,,60,,54,,59,,53,,52,,67,,83,,54,,54,
S01A_008,35,673727.9447,3990016.366,163.4176928,2.08116334,3,,25,,35,,39,,45,,38,,31,,37,,33,,31,,39,,48,,34,,37,
S01A_009,40,673723.0205,3990016.763,163.4660646,2.385072046,3,,,,51,,55,,58,,52,,48,,56,,51,,51,,62,,65,,57,,56,
S01A_010,45,673718.036,3990016.894,163.5291918,3.512154933,3,,35,,55,,73,,79,,67,,58,,69,,64,,56,,75,,88,,62,,62,
S01A_011,50,673714.6943,3990014.117,163.4474834,3.565544478,3,,,,41,,49,,50,,45,,43,,83,,83,,61,,88,,94,,84,,83,
S01A_012,55,673717.737,3990010.836,163.611525,2.191308331,3,,87,40,93,,91,,85,,93,,96,,104,,101,,27,,98,,107,,101,,100,
S01A_013,60,673717.253,3990006.188,163.8008982,1.754427382,3,,103,,23,,30,,32,,28,,26,,29,,30,,30,,34,,42,,31,,31,
S01A_014,65,673714.714,3990001.901,163.9824066,1.432138324,3,,13,,33,,52,,54,,52,,47,,49,,44,,41,,50,,55,,45,,46,
S01A_015,70,673711.3545,3989998.493,163.9824066,1.175426948,3,,24,10,30,,42,,64,,39,,32,,47,,45,,38,,67,,69,,38,,43,
S01A_016,75,673707.0973,3990000.842,163.9824066,1.106001893,3,,74,50,50,,61,,79,,54,,37,,66,,61,,3,,75,,82,,61,,58,
S01A_017,80,673702.5985,3990002.481,163.9824066,0.835663823,3,,13,50,66,,70,,68,,72,,59,,77,,68,,18,80,71,,73,,70,,70,
S01A_018,85,673698.1687,3990001.147,163.9824066,1.476645483,3,,38,,81,,86,,91,,88,,74,,98,,88,,79,,87,,103,,87,,88,
S01A_019,90,673696.0042,3989997.055,163.9957867,1.237798064,3,,63,,44,,51,,49,,44,,43,,49,,44,,44,,57,,56,,46,,45,
S01A_020,95,673687.3007,3989992.849,164.2449329,1.927681827,3,,10,20,71,,76,,75,,72,,71,,73,,73,,73,,78,,79,,75,,75,
S01A_021,100,673682.4209,3989992.019,164.2872009,1.203741012,3,,20,30,32,,55,,60,,47,,37,,61,,42,,40,,66,,71,,44,,45,
S01A_022,105,673678.4571,3989989.032,164.2949283,0.832210074,3,,21,20,4,,39,,41,,42,,22,20,43,,38,,27,,48,,50,,37,,38,
S01A_023,110,673674.5948,3989985.912,164.2872009,1.533436961,3,,27,10,34,20,80,,104,10,57,,43,,58,,54,,49,,64,,68,,56,,55,
S01A_024,115,673669.8133,3989984.717,164.3078947,1.211789848,3,,17,,37,10,57,,59,,52,,45,10,50,,49,,50,,65,,53,,38,,39,
S01A_025,120,673665.2152,3989985.73,164.3202281,1.241267096,3,,11,,23,20,67,,68,,55,,48,,63,,59,15,39,,67,,68,,38,,43,15
S01A_026,125,673661.6342,3989983.048,164.391313,2.450467644,3,,0,,42,10,53,,56,,54,,47,,55,,52,,52,,56,,56,,52,,53,
S01A_027,130,673657.7024,3989980.036,164.558653,3.534488424,3,,15,10,10,,56,,62,,42,,32,30,56,,52,10,37,20,61,,62,,54,20,54,30
S01A_028,135,673653.2857,3989978.376,164.6738251,3.321445095,3,,25,,36,,39,,37,,36,,37,,55,,43,,47,,44,,65,,41,,50,
S01A_029,140,673649.5721,3989981.026,164.7955876,3.188679623,3,,36,,5,,29,,47,,18,,11,,52,5,46,,48,30,59,,65,10,51,40,50,40
S01A_030,145,673646.8495,3989979.113,164.8972546,2.080624172,3,,13,,23,,50,,49,,43,,31,,49,,41,,35,,51,,63,,46,10,47,5
S01A_031,150,673647.3961,3989974.161,165.1404633,2.973376181,3,,5,,32,,46,,47,,46,,41,,45,,47,,46,,52,,57,,44,,48,
S01A_032,155,673650.0547,3989970.4,165.3807268,4.701679797,3,,43,10,45,,48,,49,,46,,46,,50,,35,,34,,54,,55,,35,,53,
S01A_033,160,673648.2622,3989966.945,165.5364097,5.286023622,3,,49,10,12,,30,,37,,25,,19,,51,,50,,49,,57,,61,,50,,48,
S01A_034,165,673644.4264,3989964.659,165.5127617,4.489010285,3,,0,,19,,34,,48,,31,,20,,62,,53,,48,,62,,71,,54,,55,
S01A_035,170,673640.0569,3989962.465,165.4401331,3.776605214,3,,57,,60,,64,,65,,56,,61,,63,,65,,64,,65,,62,,65,,64,
S01A_036,175,673636.3902,3989959.3,165.5910182,3.031898544,3,,56,,26,50,49,,50,,38,10,36,10,47,,44,,40,,53,,52,,41,,40,
S01B_037,180,673633.9748,3989957.295,165.7089314,2.689649856,3,,92,,17,,67,,70,,66,,55,10,66,,64,5,61,20,72,,71,,63,10,67,
S01B_038,185,673630.5122,3989953.88,165.8270437,1.692470601,3,,77,,24,,26,,28,,23,,11,,111,10,107,,11,,129,30,138,10,130,90,139,90
S01B_039,190,673628.8344,3989949.557,165.811203,3.027317098,3,,45,,79,,90,,91,,88,,79,,92,,85,,80,75,91,,97,,83,,83,
S01B_040,195,673623.8604,3989949.529,165.811203,2.114820323,3,,56,,55,,74,,77,,78,,47,,73,,63,,56,95,70,,82,,81,,64,
S01B_041,200,673618.8757,3989949.712,165.811203,2.28405744,3,,92,,64,,77,,78,,79,,55,,79,,75,,68,90,77,,79,,78,,78,
S01B_042,205,673613.8767,3989949.612,165.9430672,2.291657484,3,,77,,76,,103,,104,,101,,80,,107,,92,,75,10,106,,111,,92,,95,
S01B_043,210,673610.531,3989953.148,165.9029513,1.739758693,3,,45,10,71,,99,,98,,96,,71,,98,,87,,73,11,102,,106,,85,,85,
S01B_044,215,673606.0372,3989954.638,166.0580443,1.534204559,3,,56,,56,,85,,87,,82,,72,,88,,89,,74,50,86,,93,,87,,79,
S01B_045,220,673598.6567,3989949.066,166.1221484,1.651531062,3,,0,,39,,57,,62,,59,,42,,60,,59,,54,10,59,,68,,67,,66,
S01B_046,225,673595.2209,3989945.51,166.3572962,2.168351292,3,,33,,44,,77,,79,,75,,49,,79,,75,,52,5,81,,84,,74,,76,
S01B_047,230,673590.8515,3989943.209,166.5814612,2.305508866,3,,51,,49,,79,,84,,81,,56,,83,,68,,65,30,70,,89,,67,10,66,
S01B_048,235,673586.8632,3989940.721,166.9238384,1.334831566,3,,54,,25,,60,,63,,48,,30,,37,,30,,26,,63,,67,,28,,33,
S01B_049,240,673585.7117,3989936.001,166.7256012,0.504736333,3,,50,,31,,61,,65,,58,,32,,47,,32,,29,,63,,68,,39,,36,
S01B_050,245,673581.3182,3989933.703,166.7256012,0.387661316,3,,22,,71,,92,,112,,90,,72,,70,,70,,68,20,87,,92,,71,,70,
S01B_051,250,673577.7658,3989930.371,166.7256012,1.03473822,3,,60,,58,,69,,71,,64,,54,,64,,59,,62,10,70,,75,,58,,57,
S01B_052,255,673574.4715,3989926.675,166.7256012,1.980437324,3,,,,52,,64,,76,,65,,57,,63,,61,,58,,71,,74,,60,,58,
S01B_053,260,673573.4212,3989922.05,166.7912715,2.537678879,3,,23,,64,,68,,64,,59,,55,10,93,,84,,83,10,97,,98,,82,,81,
S01B_054,265,673575.953,3989918.603,166.7256012,1.956689908,3,,48,,39,,60,,59,,48,,44,,49,,46,,37,,60,,63,,45,,44,
S01B_055,270,673578.602,3989914.979,166.7256012,1.311124662,3,,38,,33,,59,,61,,59,,61,,53,,50,,49,15,57,,71,,51,,51,
S01B_056,275,673576.8705,3989910.46,166.7256012,1.64956492,3,,52,,54,,58,,70,,47,,35,,55,,52,,51,,52,,62,,57,,55,
S01B_057,280,673573.3547,3989906.911,166.7431638,1.438148723,3,,,,32,,47,,54,,44,,42,,49,,53,,42,,59,,56,,46,,48,
S01B_058,285,673570.1076,3989903.648,166.7256012,1.646495419,3,,45,,38,,50,,53,,52,,43,,41,,44,,44,5,51,,50,,41,,41,
S01B_059,290,673567.4685,3989900.362,166.7256012,1.251010335,3,,,,44,,51,, , , , ,43,,35,,41,,36,,37,,51,,39,,34,
