segment,ord00,ord01,ord02,ord03,ord04,ord05,ord06,ord07,ord08,ord09,ord10,ord11,ord12
S01A,2,3,3,3,3,3,3,3,3,3,3,3,3
S01B,2,3,3,3,3,3,3,3,3,3,3,3,3
S02A,1,1,1,1,1,1,2,1,1,2,2,2,2
S02B,1,1,1,1,1,1,1,1,1,1,1,1,1
S03A,2,3,3,3,3,3,3,3,3,3,3,3,3
S03B,2,3,3,3,3,3,3,3,3,3,3,3,3
S04A,2,0,3,3,3,3,3,3,3,3,3,3,3
S04B,2,0,3,3,3,3,3,3,3,3,3,3,3
S04C,2,0,3,3,3,3,3,3,3,3,3,3,3
S05A,0,0,1,1,1,0,1,1,1,1,1,1,1
S06A,0,1,2,2,2,1,2,2,1,2,2,2,2
S06B,0,1,1,1,1,1,1,1,0,1,1,1,1
S07A,0,3,3,3,3,3,3,3,3,3,3,3,3
S08A,1,2,2,2,2,2,2,2,2,2,2,2,2
S09A,0,0,1,1,1,0,1,1,0,1,1,1,1
S10A,1,2,2,2,2,2,2,2,2,2,2,2,2
S11A,0,1,1,1,1,1,1,1,1,1,1,1,1
S12A,0,1,1,1,1,1,1,1,1,2,2,1,1
S12B,0,1,1,1,1,1,1,1,1,1,1,1,1
S13A,2,2,2,2,2,2,2,2,2,2,2,2,2
S14A,1,1,1,1,1,1,1,1,1,1,1,1,1
S15A,1,1,1,1,1,1,1,1,1,1,2,2,2
S15B,0,0,0,0,0,0,0,0,0,0,2,2,2
S15C,0,0,0,0,0,0,0,0,0,0,1,1,1
S16A,,,1,1,1,0,1,1,0,1,1,1,1
S17A,,,1,1,1,0,1,1,1,1,1,1,1
S18A,,,,1,0,0,0,0,0,0,1,0,0
S19A,,,,1,1,1,1,1,1,1,1,1,1
S20A,,,,,,,1,0,0,1,1,1,1
S21A,,,,,,,,,,1,1,0,0
S22A,,,,,,,,,,,1,1,1
S23A,,,,,,,,,,,1,1,1
S24A,,,,,,,,,,,1,1,1
