# ---------------------------------- WARNING ----------------------------------------,,,,,,,,,,,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,,,,,,,,,,,
# may not have received Director's approval. Any such data values are qualified,,,,,,,,,,,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,,,,,,,,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,,,,,,,,,,,
# for any damages resulting from its use.,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,,,,,,,,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,,,,,,,,
# retrieved: 2017-02-20 18:45:56 EST       (vaww02),,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,,,,,
"#    USGS 0209734440 BOLIN CREEK AT VILLAGE DRIVE AT CHAPEL HILL, NC",,,,,,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Data provided for site 0209734440,,,,,,,,,,,,,,
#            TS   parameter     statistic     Description,,,,,,,,,,,,,,
"#         86321       00065     00001     Gage height, feet (Maximum)",,,,,,,,,,,,,,
"#         86322       00065     00002     Gage height, feet (Minimum)",,,,,,,,,,,,,,
"#         86323       00065     00003     Gage height, feet (Mean)",,,,,,,,,,,,,,
"#         86324       00060     00001     Discharge, cubic feet per second (Maximum)",,,,,,,,,,,,,,
"#         86325       00060     00002     Discharge, cubic feet per second (Minimum)",,,,,,,,,,,,,,
"#         86326       00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,,,,,,,
#,,,,,,,,,,,,,,
# Data-value qualification codes included in this output:,,,,,,,,,,,,,,
#        ,,,,,,,,,,,,,,
#     A  Approved for publication -- Processing and review completed.,,,,,,,,,,,,,,
#     P  Provisional data subject to revision.,,,,,,,,,,,,,,
#     e  Value has been estimated.,,,,,,,,,,,,,,
# 5s,15s,20d,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s,14n,10s
agency_cd,site_no,datetime,86321_00065_00001,86321_00065_00001_cd,86322_00065_00002,86322_00065_00002_cd,86323_00065_00003,86323_00065_00003_cd,86324_00060_00001,86324_00060_00001_cd,86325_00060_00002,86325_00060_00002_cd,86326_00060_00003,86326_00060_00003_cd
USGS,209734440,10/6/12,1.98,A,1.94,A,1.96,A,1.2,A,0.97,A,1.1,A
USGS,209734440,10/7/12,2.65,A,1.93,A,2.27,A,15,A,0.91,A,6.1,A
USGS,209734440,10/8/12,2.32,A,2.17,A,2.22,A,5.4,A,3,A,3.8,A
USGS,209734440,10/9/12,2.21,A,2.13,A,2.17,A,3.5,A,2.5,A,3,A
USGS,209734440,10/10/12,2.13,A,2.05,A,2.08,A,2.5,A,1.7,A,2.1,A
USGS,209734440,10/11/12,2.05,A,1.97,A,2.02,A,1.7,A,1.1,A,1.5,A
USGS,209734440,10/12/12,1.97,A,1.94,A,1.96,A,1.1,A,0.97,A,1.1,A
USGS,209734440,10/13/12,1.94,A,1.91,A,1.93,A,0.97,A,0.81,A,0.89,A
USGS,209734440,10/14/12,1.91,A,1.9,A,1.91,A,0.81,A,0.76,A,0.79,A
USGS,209734440,10/15/12,2.29,A,1.89,A,2,A,4.8,A,0.72,A,1.6,A
USGS,209734440,10/16/12,2.14,A,1.97,A,2.04,A,2.6,A,1.1,A,1.7,A
USGS,209734440,10/17/12,1.97,A,1.92,A,1.94,A,1.1,A,0.86,A,0.97,A
USGS,209734440,10/18/12,1.92,A,1.89,A,1.9,A,0.86,A,0.72,A,0.77,A
USGS,209734440,10/19/12,2.33,A,1.89,A,2.08,A,5.6,A,0.72,A,2.2,A
USGS,209734440,10/20/12,2.02,A,1.93,A,1.97,A,1.5,A,0.91,A,1.1,A
USGS,209734440,10/21/12,1.93,A,1.88,A,1.9,A,0.91,A,0.67,A,0.77,A
USGS,209734440,10/22/12,1.88,A,1.86,A,1.87,A,0.67,A,0.59,A,0.63,A
USGS,209734440,10/23/12,1.87,A,1.85,A,1.86,A,0.63,A,0.55,A,0.59,A
USGS,209734440,10/24/12,1.87,A,1.85,A,1.86,A,0.63,A,0.55,A,0.58,A
USGS,209734440,10/25/12,1.86,A,1.85,A,1.85,A,0.59,A,0.55,A,0.56,A
USGS,209734440,10/26/12,1.85,A,1.83,A,1.85,A,0.55,A,0.48,A,0.54,A
USGS,209734440,10/27/12,1.86,A,1.85,A,1.85,A,0.59,A,0.55,A,0.56,A
USGS,209734440,10/28/12,1.86,A,1.85,A,1.86,A,0.59,A,0.55,A,0.59,A
USGS,209734440,10/29/12,1.93,A,1.85,A,1.87,A,0.91,A,0.55,A,0.64,A
USGS,209734440,10/30/12,1.99,A,1.92,A,1.96,A,1.3,A,0.86,A,1.1,A
USGS,209734440,10/31/12,1.98,A,1.89,A,1.93,A,1.2,A,0.72,A,0.95,A
USGS,209734440,11/1/12,1.89,A,1.86,A,1.88,A,0.72,A,0.59,A,0.66,A
USGS,209734440,11/2/12,1.86,A,1.85,A,1.86,A,0.59,A,0.55,A,0.59,A
USGS,209734440,11/3/12,1.86,A,1.85,A,1.85,A,0.59,A,0.52,A,0.56,A
USGS,209734440,11/4/12,1.85,A,1.84,A,1.85,A,0.52,A,0.48,A,0.51,A
USGS,209734440,11/5/12,1.85,A,1.84,A,1.84,A,0.52,A,0.48,A,0.5,A
USGS,209734440,11/6/12,1.85,A,1.84,A,1.84,A,0.52,A,0.48,A,0.49,A
USGS,209734440,11/7/12,1.85,A,1.84,A,1.84,A,0.52,A,0.48,A,0.49,A
USGS,209734440,11/8/12,1.85,A,1.84,A,1.84,A,0.52,A,0.48,A,0.49,A
USGS,209734440,11/9/12,1.84,A,1.83,A,1.84,A,0.48,A,0.45,A,0.47,A
USGS,209734440,11/10/12,1.84,A,1.83,A,1.83,A,0.48,A,0.45,A,0.45,A
USGS,209734440,11/11/12,1.83,A,1.82,A,1.82,A,0.45,A,0.42,A,0.43,A
